epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.308,0.82872,0.85776,0.86235,0.84358,0.62253,0.64895,0.51283,0.52886,0.42962,0.81527,0.000475864,0.000475864,0.000475864
2,705.46,0.71775,0.46048,0.8523,0.77984,0.62849,0.63164,0.50714,0.52267,0.39328,0.81652,0.000933344,0.000933344,0.000933344
3,1031.46,0.70548,0.40925,0.85031,0.73368,0.62975,0.60421,0.5026,0.50932,0.37652,0.81286,0.00137196,0.00137196,0.00137196
4,1357.45,0.68015,0.38227,0.84346,0.78813,0.65583,0.66337,0.53363,0.50427,0.35954,0.81159,0.00134412,0.00134412,0.00134412
5,1682.77,0.66867,0.37047,0.84096,0.7986,0.65336,0.66913,0.54333,0.49744,0.34844,0.8123,0.00131582,0.00131582,0.00131582
6,2007.38,0.65602,0.36296,0.83814,0.84556,0.63579,0.65802,0.5374,0.49712,0.3423,0.81149,0.00128753,0.00128753,0.00128753
7,2331.96,0.64288,0.35295,0.83442,0.77165,0.63108,0.63366,0.52611,0.49569,0.3394,0.81039,0.00125923,0.00125923,0.00125923
8,2656.43,0.62808,0.3421,0.83139,0.78952,0.65365,0.65953,0.53633,0.53229,0.33734,0.81017,0.00123094,0.00123094,0.00123094
9,2980.93,0.62255,0.3364,0.82984,0.77898,0.63739,0.65873,0.54633,0.4886,0.31829,0.80522,0.00120265,0.00120265,0.00120265
10,3306.28,0.62614,0.33544,0.83119,0.80072,0.63943,0.65707,0.53607,0.50955,0.33262,0.81105,0.00117435,0.00117435,0.00117435
11,3630.93,0.61292,0.32704,0.82742,0.80534,0.63649,0.64585,0.53354,0.49788,0.3198,0.80923,0.00114606,0.00114606,0.00114606
12,3956.27,0.60176,0.32035,0.82537,0.79658,0.64323,0.66163,0.53085,0.56341,0.32377,0.81666,0.00111776,0.00111776,0.00111776
13,4284.14,0.59755,0.31647,0.82363,0.81523,0.63261,0.65779,0.54741,0.47806,0.30335,0.80561,0.00108947,0.00108947,0.00108947
14,4608.98,0.59304,0.31214,0.8222,0.79717,0.65526,0.67261,0.55909,0.47771,0.30337,0.80395,0.00106118,0.00106118,0.00106118
15,4935.24,0.5819,0.30502,0.82032,0.76562,0.63449,0.63679,0.53321,0.48244,0.30151,0.80853,0.00103288,0.00103288,0.00103288
16,5260.83,0.57971,0.30083,0.81948,0.85229,0.63755,0.66265,0.5488,0.48372,0.29675,0.80778,0.00100459,0.00100459,0.00100459
17,5587.85,0.56962,0.29603,0.81745,0.81354,0.64178,0.65878,0.54803,0.47288,0.29456,0.8058,0.000976293,0.000976293,0.000976293
18,5914.61,0.56987,0.29458,0.81797,0.82003,0.63183,0.65537,0.54345,0.49463,0.30219,0.8085,0.000947999,0.000947999,0.000947999
19,6239.77,0.56649,0.29245,0.81705,0.85605,0.6527,0.68354,0.56162,0.47499,0.28983,0.80808,0.000919704,0.000919704,0.000919704
20,6563.95,0.55966,0.28691,0.81552,0.80667,0.63905,0.66211,0.55516,0.46772,0.28664,0.80473,0.00089141,0.00089141,0.00089141
21,6888.87,0.55529,0.28575,0.81459,0.78292,0.643,0.63969,0.53668,0.47858,0.2923,0.80561,0.000863116,0.000863116,0.000863116
22,7214.86,0.55136,0.28246,0.81339,0.77965,0.644,0.64062,0.541,0.47746,0.28424,0.80464,0.000834822,0.000834822,0.000834822
23,7541.71,0.54959,0.27966,0.81304,0.85508,0.64507,0.65828,0.55209,0.47125,0.28052,0.80429,0.000806528,0.000806528,0.000806528
24,7869.83,0.54439,0.27651,0.81119,0.83666,0.6376,0.65837,0.55678,0.46254,0.27563,0.80299,0.000778233,0.000778233,0.000778233
25,8196.43,0.54231,0.274,0.81094,0.81826,0.64116,0.66153,0.55407,0.47916,0.28339,0.80558,0.000749939,0.000749939,0.000749939
26,8521.49,0.5366,0.27024,0.80986,0.80117,0.64503,0.66034,0.55444,0.47033,0.2755,0.80318,0.000721645,0.000721645,0.000721645
27,8846.03,0.53543,0.27017,0.81018,0.84371,0.65856,0.69162,0.57536,0.46487,0.26991,0.80195,0.000693351,0.000693351,0.000693351
28,9170.27,0.53334,0.26873,0.81017,0.81993,0.65191,0.67687,0.56813,0.4643,0.27017,0.80261,0.000665057,0.000665057,0.000665057
29,9494.58,0.52391,0.26282,0.80773,0.84731,0.63993,0.66347,0.5601,0.46346,0.27035,0.80485,0.000636762,0.000636762,0.000636762
30,9818.74,0.52694,0.26347,0.80897,0.814,0.65137,0.66433,0.55738,0.46555,0.26412,0.8025,0.000608468,0.000608468,0.000608468
31,10143.1,0.52064,0.26105,0.80685,0.86231,0.64538,0.66944,0.56069,0.4727,0.26682,0.80254,0.000580174,0.000580174,0.000580174
32,10467.4,0.51826,0.2576,0.80677,0.87831,0.63823,0.66749,0.5626,0.4657,0.26445,0.80133,0.00055188,0.00055188,0.00055188
33,10792.4,0.51754,0.25699,0.80751,0.85807,0.63894,0.66114,0.5561,0.46303,0.26408,0.80141,0.000523586,0.000523586,0.000523586
34,11116.8,0.51478,0.25509,0.80582,0.85836,0.63716,0.6722,0.5655,0.47348,0.26459,0.80278,0.000495291,0.000495291,0.000495291
35,11441.8,0.51357,0.25433,0.80498,0.82482,0.64402,0.66765,0.56139,0.47338,0.26277,0.80359,0.000466997,0.000466997,0.000466997
36,11767.1,0.51034,0.25074,0.80541,0.84668,0.64875,0.67145,0.56474,0.46766,0.25816,0.80195,0.000438703,0.000438703,0.000438703
37,12093.5,0.50801,0.24999,0.80474,0.8412,0.63823,0.66874,0.56301,0.46344,0.25754,0.80337,0.000410409,0.000410409,0.000410409
